variable_code,jotform_qid,task,set,question_type,item_type,question_label_en,question_label_zh,valid_values,correct_answer,data_type,scale_level,termination_stage,termination_type,termination_field,termination_threshold,is_practice,is_scored,notes
ERV_P1,27,ERV,1,image-choice,practice,practice item 1,（練習題：請為幼兒戴上耳機）,"1,2,3,4",4,categorical,nominal,,,,0,TRUE,FALSE,Practice item - not counted in score
ERV_P2,28,ERV,1,image-choice,practice,practice item 2,（練習題：請為幼兒戴上耳機）,"1,2,3,4",2,categorical,nominal,,,,0,TRUE,FALSE,Practice item - not counted in score
ERV_P3,29,ERV,1,image-choice,practice,practice item 3,（練習題：請為幼兒戴上耳機）,"1,2,3,4",3,categorical,nominal,,,,0,TRUE,FALSE,Practice item - not counted in score
ERV_Q1,30,ERV,1,image-choice,vocabulary,cat,cat,"1,2,3,4",2,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q2,31,ERV,1,image-choice,vocabulary,apple,apple,"1,2,3,4",4,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q3,32,ERV,1,image-choice,vocabulary,balloon,balloon,"1,2,3,4",2,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q4,33,ERV,1,image-choice,vocabulary,hand,hand,"1,2,3,4",1,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q5,34,ERV,1,image-choice,vocabulary,airplane,airplane,"1,2,3,4",1,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q6,35,ERV,1,image-choice,vocabulary,bird,bird,"1,2,3,4",3,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q7,36,ERV,1,image-choice,vocabulary,tree,tree,"1,2,3,4",1,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q8,37,ERV,1,image-choice,vocabulary,table,table,"1,2,3,4",3,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q9,38,ERV,1,image-choice,vocabulary,drinking,drinking,"1,2,3,4",3,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q10,39,ERV,1,image-choice,vocabulary,frog,frog,"1,2,3,4",2,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q11,40,ERV,1,image-choice,vocabulary,money,money,"1,2,3,4",3,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Q12,41,ERV,1,image-choice,vocabulary,umbrella,umbrella,"1,2,3,4",4,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,TRUE,Stage 1 (Q1-Q12): Pass if ≥5 correct
ERV_Ter1,599,ERV,1,termination,termination_flag,Stage 1 termination indicator,第一階段終止指標,"0,1",0,categorical,nominal,1,stage-based,ERV_Ter1,5,FALSE,FALSE,0=continued; 1=terminated at Stage 1
ERV_Q13,43,ERV,1,image-choice,vocabulary,running,running,"1,2,3,4",2,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
ERV_Q14,44,ERV,1,image-choice,vocabulary,window,window,"1,2,3,4",4,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
ERV_Q15,45,ERV,1,image-choice,vocabulary,neck,neck,"1,2,3,4",3,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
ERV_Q16,46,ERV,1,image-choice,vocabulary,talking,talking,"1,2,3,4",4,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
ERV_Q17,47,ERV,1,image-choice,vocabulary,blue,blue,"1,2,3,4",2,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
ERV_Q18,48,ERV,1,image-choice,vocabulary,thumb,thumb,"1,2,3,4",1,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
ERV_Q19,49,ERV,1,image-choice,vocabulary,grapes,grapes,"1,2,3,4",3,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
ERV_Q20,50,ERV,1,image-choice,vocabulary,swimming,swimming,"1,2,3,4",2,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
ERV_Q21,51,ERV,1,image-choice,vocabulary,circle,circle,"1,2,3,4",4,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
ERV_Q22,52,ERV,1,image-choice,vocabulary,mail,mail,"1,2,3,4",3,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
ERV_Q23,53,ERV,1,image-choice,vocabulary,hammer,hammer,"1,2,3,4",1,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
ERV_Q24,54,ERV,1,image-choice,vocabulary,candle,candle,"1,2,3,4",1,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,TRUE,Stage 2 (Q13-Q24): Pass if ≥5 correct
ERV_Ter2,600,ERV,1,termination,termination_flag,Stage 2 termination indicator,第二階段終止指標,"0,1",0,categorical,nominal,2,stage-based,ERV_Ter2,5,FALSE,FALSE,0=continued; 1=terminated at Stage 2
ERV_Q25,56,ERV,1,image-choice,vocabulary,flag,flag,"1,2,3,4",2,categorical,nominal,3,stage-based,ERV_Ter3,5,FALSE,TRUE,Stage 3 (Q25-Q36): Pass if ≥5 correct
ERV_Q26,57,ERV,1,image-choice,vocabulary,gate,gate,"1,2,3,4",3,categorical,nominal,3,stage-based,ERV_Ter3,5,FALSE,TRUE,Stage 3 (Q25-Q36): Pass if ≥5 correct
ERV_Q27,58,ERV,1,image-choice,vocabulary,sad,sad,"1,2,3,4",4,categorical,nominal,3,stage-based,ERV_Ter3,5,FALSE,TRUE,Stage 3 (Q25-Q36): Pass if ≥5 correct
ERV_Q28,59,ERV,1,image-choice,vocabulary,hopping,hopping,"1,2,3,4",1,categorical,nominal,3,stage-based,ERV_Ter3,5,FALSE,TRUE,Stage 3 (Q25-Q36): Pass if ≥5 correct
ERV_Q29,60,ERV,1,image-choice,vocabulary,plant,plant,"1,2,3,4",1,categorical,nominal,3,stage-based,ERV_Ter3,5,FALSE,TRUE,Stage 3 (Q25-Q36): Pass if ≥5 correct
ERV_Q30,61,ERV,1,image-choice,vocabulary,kangaroo,kangaroo,"1,2,3,4",2,categorical,nominal,3,stage-based,ERV_Ter3,5,FALSE,TRUE,Stage 3 (Q25-Q36): Pass if ≥5 correct
ERV_Q31,62,ERV,1,image-choice,vocabulary,muffin,muffin,"1,2,3,4",4,categorical,nominal,3,stage-based,ERV_Ter3,5,FALSE,TRUE,Stage 3 (Q25-Q36): Pass if ≥5 correct
ERV_Q32,63,ERV,1,image-choice,vocabulary,game,game,"1,2,3,4",3,categorical,nominal,3,stage-based,ERV_Ter3,5,FALSE,TRUE,Stage 3 (Q25-Q36): Pass if ≥5 correct
ERV_Q33,64,ERV,1,image-choice,vocabulary,barn,barn,"1,2,3,4",2,categorical,nominal,3,stage-based,ERV_Ter3,5,FALSE,TRUE,Stage 3 (Q25-Q36): Pass if ≥5 correct
ERV_Q34,65,ERV,1,image-choice,vocabulary,writing,writing,"1,2,3,4",3,categorical,nominal,3,stage-based,ERV_Ter3,5,FALSE,TRUE,Stage 3 (Q25-Q36): Pass if ≥5 correct
ERV_Q35,66,ERV,1,image-choice,vocabulary,ring,ring,"1,2,3,4",2,categorical,nominal,3,stage-based,ERV_Ter3,5,FALSE,TRUE,Stage 3 (Q25-Q36): Pass if ≥5 correct
ERV_Q36,67,ERV,1,image-choice,vocabulary,farmer,farmer,"1,2,3,4",3,categorical,nominal,3,stage-based,ERV_Ter3,5,FALSE,TRUE,Stage 3 (Q25-Q36): Pass if ≥5 correct
ERV_Ter3,601,ERV,1,termination,termination_flag,Stage 3 termination indicator,第三階段終止指標,"0,1",0,categorical,nominal,3,stage-based,ERV_Ter3,5,FALSE,FALSE,0=continued; 1=terminated at Stage 3
ERV_Q37,69,ERV,1,image-choice,vocabulary,zipper,zipper,"1,2,3,4",2,categorical,nominal,4,none,,0,FALSE,TRUE,Stage 4 (Q37-Q48): No termination - always completed
ERV_Q38,70,ERV,1,image-choice,vocabulary,nest,nest,"1,2,3,4",4,categorical,nominal,4,none,,0,FALSE,TRUE,Stage 4 (Q37-Q48): No termination - always completed
ERV_Q39,71,ERV,1,image-choice,vocabulary,mountain,mountain,"1,2,3,4",2,categorical,nominal,4,none,,0,FALSE,TRUE,Stage 4 (Q37-Q48): No termination - always completed
ERV_Q40,72,ERV,1,image-choice,vocabulary,horn,horn,"1,2,3,4",1,categorical,nominal,4,none,,0,FALSE,TRUE,Stage 4 (Q37-Q48): No termination - always completed
ERV_Q41,73,ERV,1,image-choice,vocabulary,pear,pear,"1,2,3,4",4,categorical,nominal,4,none,,0,FALSE,TRUE,Stage 4 (Q37-Q48): No termination - always completed
ERV_Q42,74,ERV,1,image-choice,vocabulary,yawning,yawning,"1,2,3,4",2,categorical,nominal,4,none,,0,FALSE,TRUE,Stage 4 (Q37-Q48): No termination - always completed
ERV_Q43,75,ERV,1,image-choice,vocabulary,caterpillar,caterpillar,"1,2,3,4",3,categorical,nominal,4,none,,0,FALSE,TRUE,Stage 4 (Q37-Q48): No termination - always completed
ERV_Q44,76,ERV,1,image-choice,vocabulary,chin,chin,"1,2,3,4",1,categorical,nominal,4,none,,0,FALSE,TRUE,Stage 4 (Q37-Q48): No termination - always completed
ERV_Q45,77,ERV,1,image-choice,vocabulary,pouring,pouring,"1,2,3,4",2,categorical,nominal,4,none,,0,FALSE,TRUE,Stage 4 (Q37-Q48): No termination - always completed
ERV_Q46,78,ERV,1,image-choice,vocabulary,decorated,decorated,"1,2,3,4",4,categorical,nominal,4,none,,0,FALSE,TRUE,Stage 4 (Q37-Q48): No termination - always completed
ERV_Q47,79,ERV,1,image-choice,vocabulary,triangle,triangle,"1,2,3,4",4,categorical,nominal,4,none,,0,FALSE,TRUE,Stage 4 (Q37-Q48): No termination - always completed
ERV_Q48,80,ERV,1,image-choice,vocabulary,desk,desk,"1,2,3,4",3,categorical,nominal,4,none,,0,FALSE,TRUE,Stage 4 (Q37-Q48): No termination - always completed
ERV_Date,81,ERV,1,timestamp,metadata,completion date,完成日期,ISO8601 datetime,,datetime,,,,,0,FALSE,FALSE,Auto-recorded completion timestamp
ERV_Com,82,ERV,1,completion,metadata,completion status,完成狀態,1,,boolean,nominal,,,,0,FALSE,FALSE,Task completion marker
ERV1_Score,83,ERV,1,calculated,score,Stage 1 score (Q1-Q12),第一階段分數,0-12,,numeric,ratio,,,,0,FALSE,FALSE,Count of correct answers in Stage 1
ERV2_Score,84,ERV,1,calculated,score,Stage 2 score (Q13-Q24),第二階段分數,0-12,,numeric,ratio,,,,0,FALSE,FALSE,Count of correct answers in Stage 2
ERV3_Score,85,ERV,1,calculated,score,Stage 3 score (Q25-Q36),第三階段分數,0-12,,numeric,ratio,,,,0,FALSE,FALSE,Count of correct answers in Stage 3
ERV4_Score,86,ERV,1,calculated,score,Stage 4 score (Q37-Q48),第四階段分數,0-12,,numeric,ratio,,,,0,FALSE,FALSE,Count of correct answers in Stage 4
SYM_S1,87,SYM,1,image-choice,sample,Sample: 1 vs 7,邊個大啲？1定係7？,"1,7",7,categorical,nominal,,,,,FALSE,FALSE,Sample item - administrator demonstrates
SYM_S2,88,SYM,1,image-choice,sample,Sample: 8 vs 2,邊個大啲？8定係2？,"8,2",8,categorical,nominal,,,,,FALSE,FALSE,Sample item - administrator demonstrates
SYM_S3,89,SYM,1,image-choice,sample,Sample: 2 vs 5,邊個大啲？2定係5？,"2,5",5,categorical,nominal,,,,,FALSE,FALSE,Sample item - administrator demonstrates
SYM_P1,90,SYM,1,image-choice,practice,Practice: 1 vs 6,邊個大啲？1定係6？,"1,6",6,categorical,nominal,,,,0,TRUE,FALSE,Practice item - not counted in score
SYM_P2,91,SYM,1,image-choice,practice,Practice: 7 vs 2,邊個大啲？7定係2？,"7,2",7,categorical,nominal,,,,0,TRUE,FALSE,Practice item - not counted in score
SYM_P3,92,SYM,1,image-choice,practice,Practice: 3 vs 8,邊個大啲？3定係8？,"3,8",8,categorical,nominal,,,,0,TRUE,FALSE,Practice item - not counted in score
SYM_P4,93,SYM,1,image-choice,practice,Practice: 4 vs 5,邊個大啲？4定係5？,"4,5",5,categorical,nominal,,,,0,TRUE,FALSE,Practice item - not counted in score
SYM_P5,94,SYM,1,image-choice,practice,Practice: 5 vs 7,邊個大啲？5定係7？,"5,7",7,categorical,nominal,,,,0,TRUE,FALSE,Practice item - not counted in score
SYM_P6,95,SYM,1,image-choice,practice,Practice: 6 vs 1,邊個大啲？6定係1？,"6,1",6,categorical,nominal,,,,0,TRUE,FALSE,Practice item - not counted in score
SYM_P7,96,SYM,1,image-choice,practice,Practice: 2 vs 9,邊個大啲？2定係9？,"2,9",9,categorical,nominal,,,,0,TRUE,FALSE,Practice item - not counted in score
SYM_P8,97,SYM,1,image-choice,practice,Practice: 6 vs 3,邊個大啲？6定係3？,"6,3",6,categorical,nominal,,,,0,TRUE,FALSE,Practice item - not counted in score
SYM_P9,98,SYM,1,image-choice,practice,Practice: 8 vs 7,邊個大啲？8定係7？,"8,7",8,categorical,nominal,,,,0,TRUE,FALSE,Practice item - not counted in score
SYM_Timing - First Click,99,SYM,1,timestamp,timing,First click timestamp,第一次點擊時間,ISO8601 datetime,,datetime,,,,,0,FALSE,FALSE,Time of first answer selection
SYM_Timing - Last Click,100,SYM,1,timestamp,timing,Last click timestamp,最後點擊時間,ISO8601 datetime,,datetime,,,,,0,FALSE,FALSE,Time of last answer selection
SYM_Timing - Page Submit,101,SYM,1,timestamp,timing,Page submit timestamp,頁面提交時間,ISO8601 datetime,,datetime,,,,,0,FALSE,FALSE,Time when page was submitted
SYM_Timing - Click Count,102,SYM,1,counter,timing,Total click count,點擊次數,0-999,,numeric,ratio,,,,0,FALSE,FALSE,Number of clicks during timed section
SYM_Q1,103,SYM,1,image-choice,number_comparison,1 vs 9,邊個大啲？1定係9？,"1,9",9,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q2,104,SYM,1,image-choice,number_comparison,8 vs 1,邊個大啲？8定係1？,"8,1",8,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q3,105,SYM,1,image-choice,number_comparison,7 vs 1,邊個大啲？7定係1？,"7,1",7,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q4,106,SYM,1,image-choice,number_comparison,9 vs 2,邊個大啲？9定係2？,"9,2",9,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q5,107,SYM,1,image-choice,number_comparison,3 vs 7,邊個大啲？3定係7？,"3,7",7,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q6,108,SYM,1,image-choice,number_comparison,7 vs 2,邊個大啲？7定係2？,"7,2",7,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q7,109,SYM,1,image-choice,number_comparison,2 vs 5,邊個大啲？2定係5？,"2,5",5,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q8,110,SYM,1,image-choice,number_comparison,8 vs 2,邊個大啲？8定係2？,"8,2",8,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q9,111,SYM,1,image-choice,number_comparison,1 vs 6,邊個大啲？1定係6？,"1,6",6,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q10,112,SYM,1,image-choice,number_comparison,9 vs 3,邊個大啲？9定係3？,"9,3",9,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q11,113,SYM,1,image-choice,number_comparison,1 vs 5,邊個大啲？1定係5？,"1,5",5,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q12,114,SYM,1,image-choice,number_comparison,3 vs 8,邊個大啲？3定係8？,"3,8",8,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q13,115,SYM,1,image-choice,number_comparison,9 vs 4,邊個大啲？9定係4？,"9,4",9,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q14,116,SYM,1,image-choice,number_comparison,3 vs 6,邊個大啲？3定係6？,"3,6",6,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q15,117,SYM,1,image-choice,number_comparison,5 vs 1,邊個大啲？5定係1？,"5,1",5,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q16,118,SYM,1,image-choice,number_comparison,2 vs 9,邊個大啲？2定係9？,"2,9",9,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q17,119,SYM,1,image-choice,number_comparison,6 vs 1,邊個大啲？6定係1？,"6,1",6,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q18,120,SYM,1,image-choice,number_comparison,1 vs 8,邊個大啲？1定係8？,"1,8",8,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q19,121,SYM,1,image-choice,number_comparison,2 vs 8,邊個大啲？2定係8？,"2,8",8,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q20,122,SYM,1,image-choice,number_comparison,3 vs 9,邊個大啲？3定係9？,"3,9",9,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q21,123,SYM,1,image-choice,number_comparison,8 vs 3,邊個大啲？8定係3？,"8,3",8,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q22,124,SYM,1,image-choice,number_comparison,5 vs 2,邊個大啲？5定係2？,"5,2",5,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q23,125,SYM,1,image-choice,number_comparison,4 vs 9,邊個大啲？4定係9？,"4,9",9,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q24,126,SYM,1,image-choice,number_comparison,9 vs 1,邊個大啲？9定係1？,"9,1",9,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q25,127,SYM,1,image-choice,number_comparison,7 vs 3,邊個大啲？7定係3？,"7,3",7,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q26,128,SYM,1,image-choice,number_comparison,1 vs 7,邊個大啲？1定係7？,"1,7",7,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q27,129,SYM,1,image-choice,number_comparison,2 vs 7,邊個大啲？2定係7？,"2,7",7,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q28,130,SYM,1,image-choice,number_comparison,4 vs 8,邊個大啲？4定係8？,"4,8",8,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q29,131,SYM,1,image-choice,number_comparison,5 vs 9,邊個大啲？5定係9？,"5,9",9,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q30,132,SYM,1,image-choice,number_comparison,7 vs 4,邊個大啲？7定係4？,"7,4",7,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q31,133,SYM,1,image-choice,number_comparison,5 vs 3,邊個大啲？5定係3？,"5,3",5,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q32,134,SYM,1,image-choice,number_comparison,5 vs 8,邊個大啲？5定係8？,"5,8",8,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q33,135,SYM,1,image-choice,number_comparison,2 vs 3,邊個大啲？2定係3？,"2,3",3,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q34,136,SYM,1,image-choice,number_comparison,7 vs 5,邊個大啲？7定係5？,"7,5",7,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q35,137,SYM,1,image-choice,number_comparison,6 vs 8,邊個大啲？6定係8？,"6,8",8,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q36,138,SYM,1,image-choice,number_comparison,7 vs 9,邊個大啲？7定係9？,"7,9",9,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q37,139,SYM,1,image-choice,number_comparison,4 vs 5,邊個大啲？4定係5？,"4,5",5,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q38,140,SYM,1,image-choice,number_comparison,6 vs 5,邊個大啲？6定係5？,"6,5",6,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q39,141,SYM,1,image-choice,number_comparison,6 vs 7,邊個大啲？6定係7？,"6,7",7,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q40,142,SYM,1,image-choice,number_comparison,7 vs 8,邊個大啲？7定係8？,"7,8",8,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q41,143,SYM,1,image-choice,number_comparison,9 vs 8,邊個大啲？9定係8？,"9,8",9,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
SYM_Q42,144,SYM,1,image-choice,number_comparison,6 vs 3,邊個大啲？6定係3？,"6,3",6,categorical,nominal,,timeout,,0,FALSE,TRUE,Timed task: 2 minutes total
